NOM_MUN,POBTOT,POBFEM,POBMAS,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_60YMAS,P_60YMAS_F,P_60YMAS_M,P_18A24,P_18A24_F,P_18A24_M,P_25A29,P_25A29_F,P_25A29_M,POBTOT_PORCENTAJE_MUN,POBFEM_PORCENTAJE_MUN,POBMAS_PORCENTAJE_MUN,P_18YMAS_PORCENTAJE_MUN,P_18YMAS_F_PORCENTAJE_MUN,P_18YMAS_M_PORCENTAJE_MUN,P_60YMAS_PORCENTAJE_MUN,P_60YMAS_F_PORCENTAJE_MUN,P_60YMAS_M_PORCENTAJE_MUN,P_18A24_PORCENTAJE_MUN,P_18A24_F_PORCENTAJE_MUN,P_18A24_M_PORCENTAJE_MUN,P_25A29_PORCENTAJE_MUN,P_25A29_F_PORCENTAJE_MUN,P_25A29_M_PORCENTAJE_MUN
Total de la entidad Ciudad de México,9209944,4805017,4404927,7166737,3798760,3367977,1491619,853207,638412,984186,487898,496288,752289,380208,372081,1.0,0.5217205446634637,0.47827945533653626,1.0,0.530054332955151,0.469945667044849,1.0,0.5720006248244357,0.42799937517556425,1.0,0.4957375943165215,0.5042624056834786,1.0,0.5054015145775095,0.4945984854224906
Azcapotzalco,432205,227255,204950,345123,184700,160423,78650,45565,33085,43088,21303,21785,34405,17506,16899,1.0,0.5258037273978783,0.47419627260212166,1.0,0.5351715185600496,0.46482848143995037,1.0,0.5793388429752067,0.4206611570247934,1.0,0.4944067953954697,0.5055932046045303,1.0,0.5088213922395001,0.49117860776049993
Coyoacán,614447,325337,289110,500374,269320,231054,126592,73584,53008,63817,31569,32248,47839,23960,23879,1.0,0.5294793529791829,0.4705206470208171,1.0,0.5382373984259774,0.46176260157402266,1.0,0.5812689585439839,0.4187310414560162,1.0,0.4946801009135497,0.5053198990864504,1.0,0.5008465896026255,0.49915341039737454
Cuajimalpa de Morelos,217686,113537,104149,162395,86322,76073,25803,14266,11537,25202,12908,12294,18450,9718,8732,1.0,0.5215631689681468,0.4784368310318532,1.0,0.5315557745004464,0.46844422549955356,1.0,0.5528814478936558,0.4471185521063442,1.0,0.5121815728910404,0.4878184271089596,1.0,0.5267208672086721,0.47327913279132794
Gustavo A. Madero,1173351,609477,563874,911482,480252,431230,203469,116135,87334,126620,61797,64823,91448,45079,46369,1.0,0.5194328039947126,0.4805671960052874,1.0,0.5268913703177901,0.47310862968220985,1.0,0.5707749091999272,0.42922509080007276,1.0,0.48805086084346866,0.5119491391565314,1.0,0.4929468113025982,0.5070531886974018
Iztacalco,404695,212343,192352,319021,170195,148826,70907,40949,29958,42216,20935,21281,31727,16154,15573,1.0,0.5246988472800505,0.4753011527199496,1.0,0.5334915256362434,0.46650847436375664,1.0,0.5775029263683417,0.4224970736316584,1.0,0.4959020276672352,0.5040979723327649,1.0,0.5091562391653797,0.49084376083462034
Iztapalapa,1835486,947835,887651,1383459,725294,658165,262064,146769,115295,209136,103444,105692,151590,76092,75498,1.0,0.5163945679781813,0.48360543202181877,1.0,0.5242612899984749,0.4757387100015252,1.0,0.5600502167409488,0.4399497832590512,1.0,0.494625506847219,0.5053744931527809,1.0,0.5019592321393231,0.4980407678606768
La Magdalena Contreras,247622,129335,118287,189047,100355,88692,38073,21646,16427,27704,13771,13933,19833,10070,9763,1.0,0.52230819555613,0.4776918044438701,1.0,0.5308468264505652,0.4691531735494348,1.0,0.5685393848659155,0.4314606151340845,1.0,0.49707623447877564,0.5029237655212244,1.0,0.5077396258760651,0.49226037412393486
Milpa Alta,152685,78314,74371,108278,56374,51904,16437,8767,7670,18754,9229,9525,12949,6646,6303,1.0,0.5129122048662279,0.48708779513377215,1.0,0.5206413121779124,0.47935868782208757,1.0,0.5333698363448318,0.46663016365516824,1.0,0.49210835021862004,0.50789164978138,1.0,0.5132442659664839,0.4867557340335161
Álvaro Obregón,759137,398130,361007,590251,314600,275651,122319,69602,52717,82778,41501,41277,60708,31159,29549,1.0,0.5244507908322213,0.47554920916777865,1.0,0.5329935908621926,0.4670064091378075,1.0,0.5690203484331952,0.43097965156680484,1.0,0.5013530165019692,0.4986469834980309,1.0,0.5132601963497397,0.48673980365026026
Tláhuac,392313,202123,190190,288877,151415,137462,46196,25335,20861,46722,23017,23705,33430,16937,16493,1.0,0.5152085197278703,0.48479148027212965,1.0,0.5241504169594672,0.4758495830405328,1.0,0.548424105983202,0.451575894016798,1.0,0.4926373014853816,0.5073626985146183,1.0,0.5066407418486389,0.49335925815136106
Tlalpan,699928,365051,334877,539464,286134,253330,108894,61561,47333,79747,39291,40456,56410,28601,27809,1.0,0.5215550742362072,0.4784449257637928,1.0,0.5304042531104949,0.4695957468895051,1.0,0.5653295865704263,0.4346704134295737,1.0,0.49269564999310317,0.5073043500068968,1.0,0.507020031909236,0.49297996809076405
Xochimilco,442178,226726,215452,332325,172725,159600,60987,33715,27272,51340,25450,25890,36563,17952,18611,1.0,0.5127482597505981,0.4872517402494018,1.0,0.5197472353870458,0.4802527646129542,1.0,0.5528227327135291,0.4471772672864709,1.0,0.49571484222828205,0.504285157771718,1.0,0.490988157426907,0.5090118425730931
Benito Juárez,434153,232032,202121,372085,201395,170690,87344,52615,34729,33294,16744,16550,37175,19331,17844,1.0,0.5344475334732226,0.46555246652677745,1.0,0.5412607334345647,0.45873926656543534,1.0,0.6023882579226965,0.39761174207730354,1.0,0.5029134378566709,0.49708656214332914,1.0,0.52,0.48
Cuauhtémoc,545884,284933,260951,444024,234635,209389,93809,55146,38663,51762,25874,25888,50171,25150,25021,1.0,0.5219662052743806,0.47803379472561935,1.0,0.5284286434967479,0.4715713565032521,1.0,0.5878540438550672,0.41214595614493277,1.0,0.49986476565820487,0.5001352343417952,1.0,0.5012856032369297,0.4987143967630703
Miguel Hidalgo,414470,219003,195467,332956,178841,154115,71111,41605,29506,36545,18619,17926,34671,18160,16511,1.0,0.5283928873018554,0.4716071126981446,1.0,0.5371310323285959,0.462868967671404,1.0,0.5850712266737916,0.4149287733262083,1.0,0.5094814612122042,0.4905185387877959,1.0,0.5237806812609962,0.4762193187390038
Venustiano Carranza,443704,233586,210118,347576,186203,161373,78964,45947,33017,45461,22446,23015,34920,17693,17227,1.0,0.526445558300128,0.473554441699872,1.0,0.535718806822105,0.4642811931778949,1.0,0.5818727521402158,0.4181272478597842,1.0,0.49374188865181146,0.5062581113481885,1.0,0.506672394043528,0.49332760595647196
