Alcaldia,venta,Renta,venta_PORCENTAJE_MUN,Renta_PORCENTAJE_MUN
Álvaro Obregón,6578833.0,15302.0,0.6717205416416556,0.667888787045524
Azcapotzalco,2345500.0,12267.0,0.23948328380132208,0.5354196674086683
Benito Juárez,4855384.0,16429.0,0.4957507160248981,0.717079132294531
Coyoacán,5912716.0,13644.0,0.6037077995585666,0.5955218017546157
Cuajimalpa de Morelos,8081067.0,15641.0,0.8251035863476864,0.6826851730609751
Cuauhtémoc,5226536.0,22911.0,0.5336465590218831,1.0
Gustavo A. Madero,5049058.0,9757.0,0.5155254700248714,0.4258653048753874
Iztacalco,2650977.0,10057.0,0.2706734927485728,0.43895945179171575
Iztapalapa,4150000.0,10459.0,0.42372868376699496,0.45650560865959583
La Magdalena Contreras,7575000.0,11671.0,0.7734324769963824,0.5094059622015625
Miguel Hidalgo,9794003.0,21326.0,1.0,0.9308192571253983
Milpa Alta,3673255.0,16000.0,0.37505144729892365,0.6983545022041814
Tláhuac,2651450.0,17938.0,0.2707217876081925,0.7829426912836629
Tlalpan,4479429.0,16000.0,0.4573644708910136,0.6983545022041814
Venustiano Carranza,4675000.0,10316.0,0.47733291484595214,0.45026406529614593
Xochimilco,2992341.0,15183.0,0.3055278827257864,0.6626947754353804
