ALCALDIA,HISTORIC_PERCENTAGE
Álvaro Obregón,0.044009779951100246
Azcapotzalco,0.023227383863080684
Benito Juárez,0.08068459657701711
Coyoacán,0.08312958435207823
Cuajimalpa de Morelos,0.008557457212713936
Cuauhtémoc,0.2823960880195599
Gustavo A. Madero,0.06845965770171149
Iztacalco,0.02689486552567237
Iztapalapa,0.08190709046454768
La Magdalena Contreras,0.012224938875305624
Miguel Hidalgo,0.13080684596577016
Milpa Alta,0.023227383863080684
Tlalpan,0.040342298288508556
Tláhuac,0.03667481662591687
Venustiano Carranza,0.02689486552567237
Xochimilco,0.030562347188264057
