Alcaldía,Distancia promedio a un equipamiento de cultura,Cobertura de equipamiento de cultural
Álvaro Obregón,2037.25,18.82
Azcapotzalco,1964.77,12.3
Benito Juárez,724.83,77.04
Coyoacán,1195.93,39.68
Cuajimalpa de Morelos,2286.37,9.3
Cuauhtémoc,449.16,95.45
Gustavo A. Madero,3356.73,15.04
Iztacalco,2572.28,11.47
Iztapalapa,2155.12,15.03
La Magdalena Contreras,1841.13,25.27
Miguel Hidalgo,821.86,73.43
Milpa Alta,1665.16,29.65
Tláhuac,1568.61,30.92
Tlalpan,2486.19,14.71
Venustiano Carranza,2237.93,15.76
Xochimilco,1690.79,27.79
