Alcaldía,Habitantes (Año 2015),Superficie (m²),Superficie por habitante (m²),Habitantes (Año 2015)_PORCENTAJE,Superficie (m²)_PORCENTAJE
Total de la entidad Ciudad de México,8918653.0,67311573.8,7.5,1.0,1.0
Azcapotzalco,400161.0,3980866.7,9.9,0.044867874106101,0.059140894726784715
Coyoacán,608479.0,9157547.7,15.0,0.0682254371820498,0.13604714884856844
Cuajimalpa de Morelos,199224.0,2048957.7,10.3,0.022337902371580103,0.030439901852361683
Gustavo A. Madero,1164477.0,7851619.6,6.7,0.13056646558622698,0.11664590733428966
Iztacalco,390348.0,1944289.0,5.0,0.04376759584659253,0.028884913696669505
Iztapalapa,1827868.0,9834858.6,5.4,0.20494888633967484,0.1461094733755876
La Magdalena Contreras,243886.0,1335114.4,5.5,0.027345609252877087,0.019834841538053594
Milpa Alta,137927.0,309724.0,2.2,0.015465003515665427,0.004601348364254113
Álvaro Obregón,749982.0,4913463.7,6.6,0.08409139810686658,0.07299582259953043
Tláhuac,361593.0,3054084.7,8.4,0.04054345426377728,0.04537235615786479
Tlalpan,677104.0,6530744.7,9.6,0.07591998477797039,0.09702261188253483
Xochimilco,415933.0,2092259.6,5.0,0.04663630258963994,0.031083207268584177
Benito Juárez,417416.0,929230.8,2.2,0.04680258330490041,0.01380491864238658
Cuauhtémoc,532553.0,1915961.0,3.6,0.059712268209111845,0.028464064823277093
Miguel Hidalgo,364439.0,5607701.5,15.4,0.040862560747682415,0.08330961799618479
Venustiano Carranza,427263.0,5805150.1,13.6,0.047906673799283366,0.08624297089306802
