Demarcación territorial,NUMERO_CENTROS,NUMERO_CENTROS_PORCENTAJE
Ciudad de México,497,1.0
Álvaro Obregón,29,0.05835010060362173
Azcapotzalco,27,0.05432595573440644
Benito Juárez,25,0.05030181086519115
Coyoacán,27,0.05432595573440644
Cuajimalpa de Morelos,14,0.028169014084507043
Cuauhtémoc,70,0.14084507042253522
Gustavo A. Madero,58,0.11670020120724346
Iztacalco,11,0.022132796780684104
Iztapalapa,65,0.13078470824949698
La Magdalena Contreras,14,0.028169014084507043
Miguel Hidalgo,27,0.05432595573440644
Milpa Alta,16,0.03219315895372234
Tláhuac,21,0.04225352112676056
Tlalpan,40,0.08048289738430583
Venustiano Carranza,30,0.060362173038229376
Xochimilco,23,0.04627766599597585
