NOM_MUN,PROM_OCUP,VPH_PISODT,VPH_PISOTI,VPH_C_ELEC,VPH_S_ELEC,VPH_AEASP,VPH_AGUAFV,VPH_DRENAJ,VPH_NODREN,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,BUEN_EDO
Total de la entidad Ciudad de México,3.32,2732051,16199,2746872,1917,2655528,29004,2744306,4207,6180,2580111,2279427,1843092,1289361,214550,550349,2165974,2647911,1649403,1898265,2536523,2084156,1290811,957162,568827,0.9961643869649827
Azcapotzalco,3.21,133490,334,133798,38,132706,239,133748,87,188,128896,115721,97011,64567,9851,33588,106789,130067,86856,96128,123961,105899,66399,50965,31801,0.9989243813583848
Coyoacán,3.2,190701,450,191126,61,190474,133,190986,182,268,184255,167211,143006,109429,14520,36902,154275,184451,133587,145013,179280,157908,101660,80413,44991,0.9991062182485795
Cuajimalpa de Morelos,3.6,59692,591,60308,31,56005,285,60144,137,96,55643,51099,43408,33628,4853,5061,47367,58499,37693,42165,56543,46389,31667,24817,14591,0.9964346571093943
Gustavo A. Madero,3.42,338175,1466,339504,160,336452,755,339341,298,847,318061,276870,217062,143448,24627,66256,264089,327503,185635,228113,306796,246278,143954,95131,60940,0.9983609471954822
Iztacalco,3.43,117149,282,117396,52,116564,93,117387,42,196,111714,97981,79447,53297,8651,26960,92144,114018,72374,82298,108707,91039,53971,40298,25607,0.9991631672957262
Iztapalapa,3.61,500645,2872,503261,300,495107,1278,503213,327,1500,462790,397599,294422,197085,38245,111361,389145,484383,247057,323613,455216,349103,183804,116462,82472,0.9980227050448516
La Magdalena Contreras,3.62,67362,618,67911,76,64656,802,67748,231,190,62927,56903,46528,31226,5245,5764,55272,65741,37699,48042,62286,50653,34426,21456,13357,0.9947646227031136
Milpa Alta,3.9,38001,1027,38879,151,31655,4107,38425,605,274,31136,26378,14769,15372,2968,5670,30411,36675,13896,20252,33845,19798,8170,4273,3030,0.9676893473634692
Álvaro Obregón,3.45,217550,1153,218704,74,215911,417,218480,220,435,206829,187834,157147,109289,16985,20336,176390,211976,134949,154631,203151,169135,120733,83063,49379,0.9982477881591748
Tláhuac,3.67,104766,1908,106424,243,100130,2291,106400,262,359,96869,82512,58660,41517,10871,38434,82506,101918,50871,64849,96419,71996,42449,22015,15852,0.9909203912164524
Tlalpan,3.44,200099,1801,201635,274,167425,8373,201251,649,495,185793,167823,137446,109549,14510,21993,162465,194433,120475,137033,188352,151857,94253,69538,41272,0.9877208579092158
Xochimilco,3.74,114202,2741,116707,248,98535,9821,116144,809,468,104644,88997,66010,50436,12247,33091,93953,111686,58591,74442,106703,77848,37859,26763,17813,0.9752800627991004
Benito Juárez,2.46,175564,129,175762,29,175492,43,175751,33,114,173596,157519,146509,117981,13355,36766,140916,169785,149689,141364,170360,161786,122608,112039,54473,0.9997214201090593
Cuauhtémoc,2.75,195486,256,195726,82,195261,183,195673,131,343,187837,163848,137214,74419,15170,47753,151662,186150,130963,138201,183557,157682,98006,87040,45215,0.9992955982135128
Miguel Hidalgo,2.81,144245,228,144483,45,144171,109,144398,129,177,140796,128315,112847,83032,12292,31432,112959,139522,109631,109265,137103,124777,88559,77955,39658,0.9992680478568905
Venustiano Carranza,3.26,134924,343,135248,53,134984,75,135217,65,230,128325,112817,91606,55086,10160,28982,105631,131104,79437,92856,124244,102008,62293,44934,28376,0.9991689584189134
