NOM_MUN,P12YM_CASA,P12YM_SOLT,P12YM_SEPA,P12YM_CASA_PORCENTAJE_MUN,P12YM_SOLT_PORCENTAJE_MUN,P12YM_SEPA_PORCENTAJE_MUN
Total de la entidad Ciudad de México,3731096,3017529,1160556,0.4717423965894825,0.38152230932633857,0.14673529408417887
Azcapotzalco,171393,147260,58399,0.4545606441551828,0.39055620975356187,0.1548831460912553
Coyoacán,247186,214160,82270,0.4547069990581587,0.39395455615728747,0.1513384447845538
Cuajimalpa de Morelos,92967,67268,21046,0.5128336670693564,0.37107032728195455,0.11609600564868905
Gustavo A. Madero,463694,385423,158203,0.46032442520748124,0.3826222054560616,0.15705336933645714
Iztacalco,158916,134768,56731,0.45350798339112197,0.3845954083015853,0.16189660830729277
Iztapalapa,748864,576503,224877,0.48306202120440395,0.3718788784217194,0.14505910037387662
La Magdalena Contreras,103562,75481,31647,0.49153732972613795,0.3582562057999905,0.15020646447387156
Milpa Alta,66737,41940,15673,0.5366867712102935,0.33727382388419785,0.12603940490550863
Álvaro Obregón,312904,245501,93468,0.48000760884405397,0.37660863389034366,0.14338375726560235
Tláhuac,165051,116646,45138,0.5049979347377117,0.35689568130708155,0.13810638395520675
Tlalpan,295011,221177,83342,0.4920704551898988,0.3689173185662102,0.13901222624389103
Xochimilco,189809,132266,50950,0.5088372093023256,0.3545767709939012,0.1365860197037732
Benito Juárez,176932,161564,54507,0.4502052147184627,0.41110118752274155,0.13869359775879572
Cuauhtémoc,203930,204264,71473,0.4251491138644101,0.4258454302672479,0.149005455868342
Miguel Hidalgo,163915,144097,50462,0.4572577090667663,0.40197336487443996,0.14076892605879365
Venustiano Carranza,170225,149211,62370,0.4458416054226492,0.39080318276821213,0.16335521180913867
