ALCALDIA,PORCENTAJE
Miguel Hidalgo,0.4932588593345013
Benito Juárez,0.4836644879973148
Cuauhtémoc,0.4772883454339623
Cuajimalpa de Morelos,0.4052751456922003
Coyoacán,0.3975949605296192
Álvaro Obregón,0.3759782399919032
Tlalpan,0.36246559974602216
La Magdalena Contreras,0.3622602505027488
Venustiano Carranza,0.35181404512842795
Milpa Alta,0.328601151662919
Gustavo A. Madero,0.3127751984768158
Iztapalapa,0.2965934102318489
Iztacalco,0.28486901546025545
Azcapotzalco,0.2843513251736273
Tláhuac,0.264130933369691
Xochimilco,0.2625688947886363
