NOM_MUN,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,PCATOLICA_PORCENTAJE_MUN,PRO_CRIEVA_PORCENTAJE_MUN,POTRAS_REL_PORCENTAJE_MUN,PSIN_RELIG_PORCENTAJE_MUN
Total de la entidad Ciudad de México,6988016,668246,55245,1472848,0.7608608334499265,0.07275916490597326,0.0060151202779073765,0.16036488136619284
Azcapotzalco,335663,29623,2171,63846,0.7782533392997498,0.06868257350400994,0.005033584278337966,0.14803050291790226
Coyoacán,463550,39559,2881,106925,0.7563038920568105,0.0645423916856334,0.004700488648507542,0.17445322760904855
Cuajimalpa de Morelos,174811,10285,5082,26667,0.8061564712121562,0.047430192072678644,0.023436094906500036,0.12297724180866518
Gustavo A. Madero,901136,90812,4796,174901,0.7691203393519368,0.07750811892680803,0.004093390062689637,0.14927815165856553
Iztacalco,307375,32436,1938,62204,0.7609177305280564,0.08029647013390172,0.004797587838189096,0.1539882114998527
Iztapalapa,1384540,154092,6142,288659,0.7551625829795798,0.08404561279304998,0.003349999700016308,0.15744180452735387
La Magdalena Contreras,199259,13065,1168,33374,0.8071544886699668,0.05292344834849676,0.004731311723769171,0.13519075125776736
Milpa Alta,117841,10820,243,23565,0.7728849798975529,0.0709652453941457,0.0015937666017354348,0.15455600810656592
Álvaro Obregón,608016,41833,2767,103417,0.8042188634623092,0.05533224078843119,0.003659893152812113,0.13678900259644752
Tláhuac,297513,33237,923,60125,0.7593530339613781,0.08483197974466435,0.002355805797885645,0.15345918049607196
Tlalpan,531983,52851,2478,111218,0.7615750218315606,0.07566031523341875,0.003547449644252931,0.15921721329076777
Xochimilco,343974,32610,1297,63640,0.7790660013906473,0.07385832157473823,0.002937572618289957,0.1441381044163245
Benito Juárez,305323,24493,4132,99203,0.7048881336993335,0.05654610055153976,0.009539398500753778,0.22902636724837297
Cuauhtémoc,378996,40236,5277,119709,0.6964047495672689,0.07393360748817569,0.009696481924522894,0.2199651610200324
Miguel Hidalgo,300662,24676,11228,70497,0.7386129419770404,0.060619609249673884,0.027582953989922936,0.17318449478336279
Venustiano Carranza,337374,37618,2722,64898,0.7622341915718508,0.08499091755307131,0.006149855855693023,0.14662503501938493
