alcaldia,tipo
Azcapotzalco,0.030508474576271188
Benito Juárez,0.1367231638418079
Coyoacán,0.08248587570621468
Cuajimalpa de Morelos,0.030508474576271188
Cuauhtémoc,0.27570621468926554
Gustavo A. Madero,0.04745762711864407
Iztacalco,0.005649717514124294
Iztapalapa,0.03615819209039548
La Magdalena Contreras,0.007909604519774011
Miguel Hidalgo,0.16610169491525423
Milpa Alta,0.003389830508474576
Tlalpan,0.04180790960451977
Tláhuac,0.006779661016949152
Venustiano Carranza,0.023728813559322035
Xochimilco,0.005649717514124294
Álvaro Obregón,0.09943502824858758
