ALCALDIA,NO_ESCUELAS_BASICAS,NO_ESCUELAS_SUPERIORES,NO_ESCUELAS_BASICAS_PORCENTAJE_MUN,NO_ESCUELAS_SUPERIORES_PORCENTAJE_MUN
Total de la entidad Ciudad de México,24975,3692,0.8712107998744201,0.12878920012557993
Azcapotzalco,1155,116,0.9087332808811959,0.09126671911880409
Benito Juárez,1346,379,0.7802898550724637,0.21971014492753624
Coyoacán,1679,458,0.7856808610201217,0.21431913897987834
Cuajimalpa de Morelos,857,63,0.9315217391304348,0.06847826086956521
Cuauhtémoc,1737,754,0.6973103171417102,0.30268968285828984
Gustavo A. Madero,3651,428,0.8950723216474626,0.10492767835253738
Iztacalco,1149,82,0.9333874898456539,0.06661251015434606
Iztapalapa,4241,212,0.9523916460812936,0.04760835391870649
La Magdalena Contreras,575,37,0.9395424836601307,0.06045751633986928
Miguel Hidalgo,1273,325,0.7966207759699625,0.20337922403003755
Milpa Alta,391,19,0.9536585365853658,0.046341463414634146
Tlalpan,1838,329,0.8481772035071528,0.15182279649284725
Tláhuac,873,30,0.9667774086378738,0.03322259136212625
Venustiano Carranza,1228,23,0.9816147082334132,0.01838529176658673
Xochimilco,1051,26,0.9758588672237697,0.02414113277623027
Álvaro Obregón,1931,411,0.8245089666951324,0.17549103330486762
