SEXO,EDAD,NOM_ENT,NOM_MUN,BP1_1,BP1_2_01,BP1_2_03,BP1_4_1,BP1_4_2,BP1_4_3,BP1_4_4,BP1_4_5,BP1_4_6,BP1_4_7,BP1_4_8,BP1_5_1,BP1_5_2,BP1_6_4,BP2_2_03,BP2_2_11,BP2_2_14,BP3_1_05,BP3_1_07,BP3_1_08,BP3_1_10,BP3_1_11,BP3_1_13,BP3_1_14,BP4_1_1,BP4_1_2,BP4_1_3,BP4_1_7,BP4_1_8
2,65,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,1,2,2,1,1,2,2,1,1,2,0,0,0,0,0,1,1,1,0,1,2,2,2,2,2
2,72,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,1,1,1,2,2,3,1,2,0,1,0,1,1,1,1,1,0,1,2,2,2,2,1
2,61,CIUDAD DE MEXICO,AZCAPOTZALCO,2,2,2,1,1,1,1,1,1,2,1,3,1,2,1,1,0,0,1,1,1,1,1,1,2,2,2,2,2
1,22,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,2,2,2,2,2
2,46,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,1,1,1,1,2,1,2,2,3,2,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2
1,60,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,0,1,1,0,0,1,1,2,2,2,2,2
1,27,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,1,0,1,0,0,0,0,2,2,2,2,2
1,65,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,0,0,0,1,0,0,0,2,2,2,2,2
2,64,CIUDAD DE MEXICO,AZCAPOTZALCO,1,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,1,0,1,1,0,0,0,2,2,2,2,2
1,68,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,0,1,0,2,2,2,2,2
1,33,CIUDAD DE MEXICO,AZCAPOTZALCO,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,1,1,1,0,0,0,2,2,2,2,2
