NOM_MUN,General_Security_SCORE,normalized
Benito Juárez,566,0.9999999999999998
Miguel Hidalgo,487,0.6308411214953271
Cuajimalpa de Morelos,482,0.6074766355140186
Cuauhtémoc,482,0.6074766355140186
La Magdalena Contreras,460,0.5046728971962617
Coyoacán,458,0.49532710280373826
Venustiano Carranza,454,0.4766355140186913
Milpa Alta,449,0.45327102803738284
Tlalpan,444,0.4299065420560748
Álvaro Obregón,428,0.35514018691588767
Iztacalco,407,0.2570093457943925
Azcapotzalco,391,0.18224299065420557
Gustavo A. Madero,385,0.15420560747663536
Iztapalapa,374,0.10280373831775691
Xochimilco,364,0.05607476635514019
Tláhuac,352,0.0
