ALCALDIA,HISTORIC_PERCENTAGE
Álvaro Obregón,0.07689057879171948
Azcapotzalco,0.036755386565272496
Benito Juárez,0.058301647655259824
Coyoacán,0.060414026193493876
Cuajimalpa de Morelos,0.026615969581749048
Cuauhtémoc,0.07224334600760456
Gustavo A. Madero,0.13223489649345163
Iztacalco,0.04055766793409379
Iztapalapa,0.1808196028728348
La Magdalena Contreras,0.03126320236586396
Miguel Hidalgo,0.04858470637938318
Milpa Alta,0.017743979721166033
Tlalpan,0.07435572454583861
Tláhuac,0.046894803548795945
Venustiano Carranza,0.04267004647232784
Xochimilco,0.05365441487114491
