Alcaldias,Lineas de metro,Lineas de metrobus,Estaciones Ecobici,LineasRTP,Lineas de metro_PORCENTAJE_MUN,Lineas de metrobus_PORCENTAJE_MUN,Estaciones Ecobici_PORCENTAJE_MUN,LineasRTP_PORCENTAJE_MUN
Total de la entidad Ciudad de México,42,30,677,252,1.0,1.0,1.0,1.0
Álvaro Obregón,3,1,17,28,0.07142857142857142,0.03333333333333333,0.025110782865583457,0.1111111111111111
Azcapotzalco,2,2,28,9,0.047619047619047616,0.06666666666666667,0.0413589364844904,0.03571428571428571
Benito Juárez,4,3,213,18,0.09523809523809523,0.1,0.31462333825701627,0.07142857142857142
Coyoacán,2,2,37,31,0.047619047619047616,0.06666666666666667,0.05465288035450517,0.12301587301587301
Cuajimalpa de Morelos,0,0,0,13,0.0,0.0,0.0,0.051587301587301584
Cuauhtémoc,7,5,243,13,0.16666666666666666,0.16666666666666666,0.35893648449039883,0.051587301587301584
Gustavo A. Madero,5,5,0,18,0.11904761904761904,0.16666666666666666,0.0,0.07142857142857142
Iztacalco,5,3,0,9,0.11904761904761904,0.1,0.0,0.03571428571428571
Iztapalapa,3,2,0,22,0.07142857142857142,0.06666666666666667,0.0,0.0873015873015873
La Magdalena Contreras,0,0,0,5,0.0,0.0,0.0,0.01984126984126984
Miguel Hidalgo,4,2,139,23,0.09523809523809523,0.06666666666666667,0.20531757754800592,0.09126984126984126
Milpa Alta,0,0,0,6,0.0,0.0,0.0,0.023809523809523808
Tláhuac,1,0,0,9,0.023809523809523808,0.0,0.0,0.03571428571428571
Tlalpan,0,2,0,24,0.0,0.06666666666666667,0.0,0.09523809523809523
Venustiano Carranza,6,2,0,9,0.14285714285714285,0.06666666666666667,0.0,0.03571428571428571
Xochimilco,0,1,0,15,0.0,0.03333333333333333,0.0,0.05952380952380952
