Alcaldia,venta,Renta
Álvaro Obregón,6578833.00,15302.00
Azcapotzalco,2345500.00,12267.00
Benito Juárez,4855384.00,16429.00
Coyoacán,5912716.00,13644.00
Cuajimalpa de Morelos,8081067.00,15641.00
Cuauhtémoc,5226536.00,22911.00
Gustavo A. Madero,5049058.00,9757.00
Iztacalco,2650977.00,10057.00
Iztapalapa,4150000.00,10459.00
La Magdalena Contreras,7575000.00,11671.00
Miguel Hidalgo,9794003.00,21326.00
Milpa Alta,3673255.00,16000.00
Tláhuac,2651450.00,17938.00
Tlalpan,4479429.00,16000.00
Venustiano Carranza,4675000.00,10316.00
Xochimilco,2992341.00,15183.00
