Alcaldía,Distancia promedio a un equipamiento deportivo,Cobertura de equipamiento deportivo a una distancia de 15 min caminando
Álvaro Obregón,852.55,71.11
Azcapotzalco,673.54,83.08
Benito Juárez,587.59,94.5
Coyoacán,707.4,82.1
Cuajimalpa de Morelos,713.17,78.8
Cuauhtémoc,549.85,91.24
Gustavo A. Madero,871.17,69.33
Iztacalco,598.37,90
Iztapalapa,858.39,71.62
La Magdalena Contreras,348.28,99.08
Miguel Hidalgo,585.36,90.13
Milpa Alta,2023.8,35.92
Tláhuac,812.74,75.57
Tlalpan,811.2,80.07
Venustiano Carranza,604.6,93.23
Xochimilco,847.12,72.83
