id,tipo,nombre,calle_y_numero,colonia,alcaldia,cp,categoria,subcategoria
0,Agencia de viajes,Agencia de Viajes México Kanko,"Av.Paseo de La Reforma, No.393",Juárez,Cuauhtémoc,6500.0,,
1,Agencia de viajes,Viajes Zeta,Rio Marne 19-405,Renacimiento,Cuauhtémoc,6500.0,,
2,Agencia de viajes,In Fact,Rio Sena  82,Cuauhtémoc,Cuauhtémoc,6500.0,,
3,Agencia de viajes,Sistema Moderno de Viajes,Liverpool 143 interior 202,Juárez,Cuauhtémoc,6600.0,,
4,Agencia de viajes,Integradores Bts,Rodolfo Gaona 81 piso 1,Lomas de Sotelo,Miguel Hidalgo,11200.0,Mayorista,
5,Agencia de viajes,La Casa del Viaje,Londres No. 95 A,Juárez,Cuauhtémoc,6600.0,Mayorista,
6,Agencia de viajes,Travel Care,Mariano Escobedo 373  306,Polanco v Sección,Miguel Hidalgo,11570.0,Minorista,
7,Agencia de viajes,Lozano Travel de México,Taine #709,Polanco,Miguel Hidalgo,11560.0,,
8,Agencia de viajes,Professional travel services,Campeche 280 despacho 603 y 604,Hipódromo,Cuauhtémoc,6100.0,Minorista,
9,Agencia de viajes,Valero Viajes,Medellín 78,Roma Norte,Cuauhtémoc,6700.0,Mayorista,
10,Agencia de viajes,Komex Tours/Grupo Royale,Valencia No.9,Insurgentes Mixcoac,Benito Juárez,3920.0,,
11,Agencia de viajes,Viajes Zona Norte,Calzada de Tlalpan 2043,Parque San Andrés,Coyoacán,4040.0,Minorista,
12,Agencia de viajes,Tip´s Viajes,Cuernavaca No. 17,Condesa,Cuauhtémoc,6140.0,Minorista,
13,Agencia de viajes,Quality Mayorista de Viajes,Saltillo 137,Condesa,Cuauhtémoc,6100.0,Mayorista,
14,Agencia de viajes,Orion Tours,Kelvin No.8-103,Anzures,Miguel Hidalgo,11590.0,,
15,Agencia de viajes,Transporte Multimodal,Unión 2,Escandón,Miguel Hidalgo,11800.0,Minorista,
16,Agencia de viajes,Dua Tours,Juan Enrique Pestalozzi No.909,Del Valle,Benito Juárez,3100.0,,
17,Agencia de viajes,Maratones y Viajes,Miguel Laurent 234-B,Del Valle Sur,Benito Juárez,3104.0,,
18,Agencia de viajes,Mikado Travel,Río Nilo 88 despacho 202,Cuauhtémoc,Cuauhtémoc,6500.0,Minorista,
19,Agencia de viajes,Asesores en Cruceros,Río Guadalquivir 66 int 201 piso 2,Cuauhtémoc,Cuauhtémoc,6500.0,Mayorista,
20,Agencia de viajes,Royal Tours,Veracruz 69,Condesa,Cuauhtémoc,6140.0,Minorista,
21,Agencia de viajes,Olga Pulido South Pacific Tours,Avenida Mariano Escobedo No. 724 - 206,Nueva Anzures,Miguel Hidalgo,11590.0,,
22,Agencia de viajes,Petra La Operadora Mexicana,Aguascalientes 116,Roma Sur,Cuauhtémoc,6760.0,,
23,Agencia de viajes,Turismo y Convenciones,Ángel Urraza 625,Del Valle Centro,Benito Juárez,3100.0,Mayorista,
24,Agencia de viajes,Asesoría y Consultaría Turística y Empresarial,Avenida Insurgentes Sur 1650 despacho 304,Florida,Álvaro Obregón,1030.0,Minorista,
25,Agencia de viajes,OPESA,Serapio Rendón No. 70-B,San Rafael,Cuauhtémoc,6470.0,,
26,Agencia de viajes,Recondo Viajes,Fuego 134,Jardines del Pedregal,Álvaro Obregón,1900.0,,
27,Agencia de viajes,Royal Holiday Travel,"Insurgentes Sur, No.1999, 1er Piso",Guadalupe Inn,Álvaro Obregón,1020.0,,
28,Agencia de viajes,MexAtlántica Tours,Copérnico 152,Anzures,Miguel Hidalgo,11590.0,Mayorista,
29,Agencia de viajes,Viallo,Ameyalco 20,Del Valle Centro,Benito Juárez,3100.0,Minorista,
30,Agencia de viajes,Viajes Mundomex,Ciceron 737 No. Mezzi1,Chapultepec Morales,Miguel Hidalgo,11570.0,,
31,Agencia de viajes,T.C.T. International Travel Services,Pitágoras 583 planta baja,Narvarte Poniente,Benito Juárez,3020.0,Minorista,
32,Agencia de viajes,Signum Travel Lufthansa city center,"Colina de los Aconitos #43, local D",Boulevares,Miguel Hidalgo,53140.0,Minorista,
33,Agencia de viajes,Germamex,"Altavista, No.131-2",San Angel Innn,Álvaro Obregón,1060.0,Minorista,
34,Agencia de viajes,Giras Turísticas y Empresariales,Tigre No.11,Del Valle,Benito Juárez,3100.0,,
35,Agencia de viajes,Viajes Meca,Goethe 132,Anzures,Miguel Hidalgo,11590.0,Mayorista,
36,Agencia de viajes,Viajes y Excursiones Fox,Av. Canal de Miramontes No.2706-A,Los Cipreses,Coyoacán,4830.0,,
37,Agencia de viajes,Felqueres Maintours,Melcho Ocampo No. 318,Romero de terreros,Coyoacán,4310.0,,
38,Agencia de viajes,Viajes Kokai,Periferico Sur  7642-1,Villa Cuemanco,Tlalpan,14360.0,,
39,Agencia de viajes,Viajes Polanco,Homero No.407-301,Chapultepec Morales,Miguel Hidalgo,11570.0,,
40,Agencia de viajes,Centro Turístico Empresarial,Poniente No. 116,Industria Vallejo,Azcapotzalco,2300.0,,
41,Agencia de viajes,Viajes Coaplaza,Calzada Canal de Miramontes 3280 39,Villa Coapa,Tlalpan,14390.0,Minorista,
42,Agencia de viajes,Viajes y Excursiones Ciltlaltepetl,Retorno 106 de Oriente 160 46,Unidad Modelo,Iztapalapa,9089.0,Minorista,
43,Agencia de viajes,Viajes Ancho Mundo,Leibnitz 34 piso 1,Anzures,Miguel Hidalgo,11590.0,Mayorista,
44,Agencia de viajes,Viajes Excelsior S.A. de C.V.,"AV. Constituyentes, No.117",San Miguel Chapultepec,Miguel Hidalgo,11850.0,,
45,Agencia de viajes,Viajes Alpandeire,Descartes No. 54,Anzures,Miguel Hidalgo,11590.0,,
46,Agencia de viajes,miescape.mx,Calzada de Tlalpan No. 2205,Ciudad Jardin,Coyoacán,4370.0,,
47,Agencia de viajes,Tlacopan Viajes,Golfo de Adén 11 B,Tacuba,Miguel Hidalgo,11410.0,Minorista,
