ciclo_esc,ent,alc,tipo_educ,niv_educ,Numero de escuelas,h_alum,m_alum,tot_alum,h_prof,m_prof,tot_profesores
2017-2018,Ciudad de México,Azcapotzalco,Básica,Primaria,149,18257,17527,35784,148,1335,1483
2017-2018,Ciudad de México,Azcapotzalco,Básica,Secundaria,60,9735,8905,18640,511,929,1440
2017-2018,Ciudad de México,Azcapotzalco,Media Superior,Bachillerato,30,21464,20449,41913,1355,1220,2575
2017-2018,Ciudad de México,Azcapotzalco,Superior,Licenciatura Universitaria Tecnológica ,9,19120,9440,28560,0,0,2241
2017-2018,Ciudad de México,Azcapotzalco,Superior,Normal Licenciatura,1,295,717,1012,0,0,221
2017-2018,Ciudad de México,Azcapotzalco,Superior,Posgrado,10,1424,796,2220,0,0,464
2017-2018,Ciudad de México,Azcapotzalco,Superior,Técnico Superior,2,41,30,71,0,0,39
2018-2019,Ciudad de México,Azcapotzalco,Básica,Primaria,147,17633,17005,34638,164,1292,1456
2018-2019,Ciudad de México,Azcapotzalco,Básica,Secundaria,60,9362,8645,18007,519,889,1408
2018-2019,Ciudad de México,Azcapotzalco,Media Superior,Bachillerato,26,20542,19818,40360,1445,1221,2666
2018-2019,Ciudad de México,Azcapotzalco,Superior,Licenciatura Universitaria Tecnológica ,8,18632,9355,27987,0,0,2303
2018-2019,Ciudad de México,Azcapotzalco,Superior,Normal Licenciatura,1,355,795,1150,0,0,232
2018-2019,Ciudad de México,Azcapotzalco,Superior,Posgrado,9,1437,816,2253,0,0,374
2018-2019,Ciudad de México,Azcapotzalco,Superior,Técnico Superior,2,52,36,88,0,0,72
2019-2020,Ciudad de México,Azcapotzalco,Básica,Primaria,146,17254,16655,33909,186,1271,1457
2019-2020,Ciudad de México,Azcapotzalco,Básica,Secundaria,60,9061,8549,17610,516,866,1382
2019-2020,Ciudad de México,Azcapotzalco,Media Superior,Bachillerato,26,21401,20175,41576,1085,1040,2125
2019-2020,Ciudad de México,Azcapotzalco,Superior,Licenciatura Universitaria Tecnológica ,11,18371,9705,28076,0,0,2252
2019-2020,Ciudad de México,Azcapotzalco,Superior,Normal Licenciatura,1,490,995,1485,0,0,241
2019-2020,Ciudad de México,Azcapotzalco,Superior,Posgrado,11,1552,1024,2576,0,0,432
2019-2020,Ciudad de México,Azcapotzalco,Superior,Técnico Superior,1,46,33,79,0,0,0
2020-2021,Ciudad de México,Azcapotzalco,Básica,Primaria,144,17016,16292,33308,154,1289,1443
2020-2021,Ciudad de México,Azcapotzalco,Básica,Secundaria,59,9111,8550,17661,510,851,1361
2020-2021,Ciudad de México,Azcapotzalco,Media Superior,Bachillerato,23,21255,19987,41242,1234,1091,2325
2020-2021,Ciudad de México,Azcapotzalco,Superior,Licenciatura Universitaria Tecnológica ,12,20869,14275,35144,0,0,2768
2020-2021,Ciudad de México,Azcapotzalco,Superior,Normal Licenciatura,1,648,1152,1800,0,0,232
2020-2021,Ciudad de México,Azcapotzalco,Superior,Posgrado,12,2051,1528,3579,0,0,487
2020-2021,Ciudad de México,Azcapotzalco,Superior,Técnico Superior,1,0,0,0,0,0,0
2021-2022,Ciudad de México,Azcapotzalco,Básica,Primaria,140,16741,15872,32613,150,1270,1420
2021-2022,Ciudad de México,Azcapotzalco,Básica,Secundaria,58,8988,8321,17309,480,866,1346
2021-2022,Ciudad de México,Azcapotzalco,Media Superior,Bachillerato,27,20424,20694,41118,1585,1490,3075
2021-2022,Ciudad de México,Azcapotzalco,Superior,Licenciatura Universitaria Tecnológica ,11,20910,14106,35016,0,0,2594
2021-2022,Ciudad de México,Azcapotzalco,Superior,Normal Licenciatura,1,759,1312,2071,0,0,221
2021-2022,Ciudad de México,Azcapotzalco,Superior,Posgrado,11,1166,868,2034,0,0,440
2021-2022,Ciudad de México,Azcapotzalco,Superior,Técnico Superior,1,0,0,0,0,0,2
2017-2018,Ciudad de México,Benito Juárez,Básica,Primaria,149,16242,15744,31986,140,1129,1269
2017-2018,Ciudad de México,Benito Juárez,Básica,Secundaria,80,9291,9805,19096,659,905,1564
2017-2018,Ciudad de México,Benito Juárez,Media Superior,Bachillerato,52,9068,9914,18982,1069,1208,2277
2017-2018,Ciudad de México,Benito Juárez,Superior,Licenciatura Universitaria Tecnológica ,33,6735,8070,14805,0,0,2772
2017-2018,Ciudad de México,Benito Juárez,Superior,Normal Licenciatura,4,7,71,78,0,0,53
2017-2018,Ciudad de México,Benito Juárez,Superior,Posgrado,36,2384,2672,5056,0,0,1145
2018-2019,Ciudad de México,Benito Juárez,Básica,Primaria,149,15727,15214,30941,124,1140,1264
2018-2019,Ciudad de México,Benito Juárez,Básica,Secundaria,80,9011,9461,18472,699,927,1626
2018-2019,Ciudad de México,Benito Juárez,Media Superior,Bachillerato,50,6039,7062,13101,833,900,1733
2018-2019,Ciudad de México,Benito Juárez,Media Superior,Profesional Técnico,1,0,0,0,0,0,0
2018-2019,Ciudad de México,Benito Juárez,Superior,Licenciatura Universitaria Tecnológica ,32,6977,8652,15629,0,0,2642
2018-2019,Ciudad de México,Benito Juárez,Superior,Normal Licenciatura,4,6,48,54,0,0,39
2018-2019,Ciudad de México,Benito Juárez,Superior,Posgrado,36,2714,3189,5903,0,0,970
2018-2019,Ciudad de México,Benito Juárez,Superior,Técnico Superior,1,3,1,4,0,0,9
2019-2020,Ciudad de México,Benito Juárez,Básica,Primaria,145,15129,14943,30072,134,1143,1277
2019-2020,Ciudad de México,Benito Juárez,Básica,Secundaria,77,8772,9010,17782,637,913,1550
2019-2020,Ciudad de México,Benito Juárez,Media Superior,Bachillerato,46,5385,6130,11515,665,717,1382
2019-2020,Ciudad de México,Benito Juárez,Superior,Licenciatura Universitaria Tecnológica ,36,7263,8617,15880,0,0,2635
2019-2020,Ciudad de México,Benito Juárez,Superior,Normal Licenciatura,4,5,56,61,0,0,39
2019-2020,Ciudad de México,Benito Juárez,Superior,Posgrado,39,2578,3088,5666,0,0,789
2019-2020,Ciudad de México,Benito Juárez,Superior,Técnico Superior,1,3,0,3,0,0,0
2020-2021,Ciudad de México,Benito Juárez,Básica,Primaria,140,14352,13849,28201,117,1110,1227
2020-2021,Ciudad de México,Benito Juárez,Básica,Secundaria,75,8469,9065,17534,616,911,1527
2020-2021,Ciudad de México,Benito Juárez,Media Superior,Bachillerato,44,5243,6070,11313,607,688,1295
2020-2021,Ciudad de México,Benito Juárez,Superior,Licenciatura Universitaria Tecnológica ,36,6746,8117,14863,0,0,2746
2020-2021,Ciudad de México,Benito Juárez,Superior,Normal Licenciatura,3,2,102,104,0,0,38
2020-2021,Ciudad de México,Benito Juárez,Superior,Posgrado,35,2176,2508,4684,0,0,558
2021-2022,Ciudad de México,Benito Juárez,Básica,Primaria,136,13857,13626,27483,132,1107,1239
2021-2022,Ciudad de México,Benito Juárez,Básica,Secundaria,76,8456,8825,17281,629,920,1549
2021-2022,Ciudad de México,Benito Juárez,Media Superior,Bachillerato,46,5014,6077,11091,672,819,1491
2021-2022,Ciudad de México,Benito Juárez,Superior,Licenciatura Universitaria Tecnológica ,38,6869,8337,15206,0,0,2940
2021-2022,Ciudad de México,Benito Juárez,Superior,Normal Licenciatura,3,3,148,151,0,0,46
2021-2022,Ciudad de México,Benito Juárez,Superior,Posgrado,38,2313,2646,4959,0,0,814
2017-2018,Ciudad de México,Coyoacán,Básica,Primaria,204,25468,24669,50137,251,1632,1883
2017-2018,Ciudad de México,Coyoacán,Básica,Secundaria,96,14771,14477,29248,895,1157,2052
2017-2018,Ciudad de México,Coyoacán,Media Superior,Bachillerato,51,19622,20501,40123,1571,1871,3442
2017-2018,Ciudad de México,Coyoacán,Media Superior,Profesional Técnico,1,40,5,45,16,3,19
2017-2018,Ciudad de México,Coyoacán,Superior,Licenciatura Universitaria Tecnológica ,41,64023,63338,127361,0,0,20343
2017-2018,Ciudad de México,Coyoacán,Superior,Normal Licenciatura,1,0,72,72,0,0,14
2017-2018,Ciudad de México,Coyoacán,Superior,Posgrado,40,15970,15524,31494,0,0,3296
2017-2018,Ciudad de México,Coyoacán,Superior,Técnico Superior,2,34,70,104,0,0,17
2018-2019,Ciudad de México,Coyoacán,Básica,Primaria,202,24656,24198,48854,274,1597,1871
2018-2019,Ciudad de México,Coyoacán,Básica,Secundaria,94,14435,14178,28613,853,1140,1993
2018-2019,Ciudad de México,Coyoacán,Media Superior,Bachillerato,48,19860,20380,40240,1724,1886,3610
2018-2019,Ciudad de México,Coyoacán,Superior,Licenciatura Universitaria Tecnológica ,41,64619,64823,129442,0,0,23256
2018-2019,Ciudad de México,Coyoacán,Superior,Normal Licenciatura,1,0,56,56,0,0,13
2018-2019,Ciudad de México,Coyoacán,Superior,Posgrado,41,15947,15752,31699,0,0,3535
2018-2019,Ciudad de México,Coyoacán,Superior,Técnico Superior,2,39,66,105,0,0,50
2019-2020,Ciudad de México,Coyoacán,Básica,Primaria,200,23978,23729,47707,268,1655,1923
2019-2020,Ciudad de México,Coyoacán,Básica,Secundaria,93,13483,13053,26536,822,1122,1944
2019-2020,Ciudad de México,Coyoacán,Media Superior,Bachillerato,44,15641,16025,31666,1132,1304,2436
2019-2020,Ciudad de México,Coyoacán,Media Superior,Profesional Técnico,1,38,9,47,14,2,16
2019-2020,Ciudad de México,Coyoacán,Superior,Licenciatura Universitaria Tecnológica ,44,64959,66796,131755,0,0,24723
2019-2020,Ciudad de México,Coyoacán,Superior,Normal Licenciatura,1,0,56,56,0,0,9
2019-2020,Ciudad de México,Coyoacán,Superior,Posgrado,41,15728,15631,31359,0,0,3455
2019-2020,Ciudad de México,Coyoacán,Superior,Técnico Superior,2,32,71,103,0,0,0
2020-2021,Ciudad de México,Coyoacán,Básica,Primaria,197,23474,23111,46585,231,1633,1864
2020-2021,Ciudad de México,Coyoacán,Básica,Secundaria,92,13304,12927,26231,823,1102,1925
2020-2021,Ciudad de México,Coyoacán,Media Superior,Bachillerato,34,15053,15521,30574,1128,1242,2370
2020-2021,Ciudad de México,Coyoacán,Superior,Licenciatura Universitaria Tecnológica ,43,64444,67375,131819,0,0,28229
2020-2021,Ciudad de México,Coyoacán,Superior,Normal Licenciatura,1,0,27,27,0,0,11
2020-2021,Ciudad de México,Coyoacán,Superior,Posgrado,41,15332,15210,30542,0,0,4957
2020-2021,Ciudad de México,Coyoacán,Superior,Técnico Superior,2,28,53,81,0,0,0
2021-2022,Ciudad de México,Coyoacán,Básica,Primaria,193,22987,22391,45378,242,1609,1851
2021-2022,Ciudad de México,Coyoacán,Básica,Secundaria,88,12990,12745,25735,803,1095,1898
2021-2022,Ciudad de México,Coyoacán,Media Superior,Bachillerato,41,15297,16436,31733,1208,1281,2489
2021-2022,Ciudad de México,Coyoacán,Superior,Licenciatura Universitaria Tecnológica ,42,63463,66605,130068,0,0,22090
2021-2022,Ciudad de México,Coyoacán,Superior,Normal Licenciatura,1,0,0,0,0,0,1
2021-2022,Ciudad de México,Coyoacán,Superior,Posgrado,69,15733,15847,31580,0,0,7481
2021-2022,Ciudad de México,Coyoacán,Superior,Técnico Superior,2,30,54,84,0,0,49
2017-2018,Ciudad de México,Cuajimalpa de Morelos,Básica,Primaria,91,13040,13004,26044,146,767,913
2017-2018,Ciudad de México,Cuajimalpa de Morelos,Básica,Secundaria,55,7258,7323,14581,493,579,1072
