Alcaldía,Habitantes (Año 2015),Superficie (m²),Superficie por habitante (m²)
Total de la entidad Ciudad de México,8918653.00,67311573.80,7.50
Azcapotzalco,400161.00,3980866.70,9.90
Coyoacán,608479.00,9157547.70,15.00
Cuajimalpa de Morelos,199224.00,2048957.70,10.30
Gustavo A. Madero,1164477.00,7851619.60,6.70
Iztacalco,390348.00,1944289.00,5.00
Iztapalapa,1827868.00,9834858.60,5.40
La Magdalena Contreras,243886.00,1335114.40,5.50
Milpa Alta,137927.00,309724.00,2.20
Álvaro Obregón,749982.00,4913463.70,6.60
Tláhuac,361593.00,3054084.70,8.40
Tlalpan,677104.00,6530744.70,9.60
Xochimilco,415933.00,2092259.60,5.00
Benito Juárez,417416.00,929230.80,2.20
Cuauhtémoc,532553.00,1915961.00,3.60
Miguel Hidalgo,364439.00,5607701.50,15.40
Venustiano Carranza,427263.00,5805150.10,13.60
