Demarcación territorial,NUMERO_CENTROS
,
Ciudad de México,578
De consulta externa,496
De hospitalización general,41
De hospitalización especializada,41
Álvaro Obregón,29
De consulta externa,26
De hospitalización general,2
De hospitalización especializada,1
Azcapotzalco,27
De consulta externa,23
De hospitalización general,1
De hospitalización especializada,3
Benito Juárez,25
De consulta externa,22
De hospitalización general,2
De hospitalización especializada,1
Coyoacán,27
De consulta externa,26
De hospitalización general,ND
De hospitalización especializada,1
Cuajimalpa de Morelos,14
De consulta externa,14
De hospitalización general,ND
De hospitalización especializada,ND
Cuauhtémoc,70
De consulta externa,67
De hospitalización general,2
De hospitalización especializada,1
Gustavo A. Madero,58
De consulta externa,51
De hospitalización general,3
De hospitalización especializada,4
Iztacalco,11
De consulta externa,10
De hospitalización general,ND
De hospitalización especializada,1
Iztapalapa,65
De consulta externa,57
De hospitalización general,5
De hospitalización especializada,3
La Magdalena Contreras,14
De consulta externa,13
De hospitalización general,ND
De hospitalización especializada,1
Miguel Hidalgo,27
De consulta externa,23
De hospitalización general,2
De hospitalización especializada,2
Milpa Alta,16
De consulta externa,15
De hospitalización general,1
De hospitalización especializada,ND
Tláhuac,21
De consulta externa,18
De hospitalización general,2
De hospitalización especializada,1
Tlalpan,40
De consulta externa,36
De hospitalización general,3
De hospitalización especializada,1
Venustiano Carranza,30
De consulta externa,26
De hospitalización general,1
De hospitalización especializada,3
Xochimilco,23
De consulta externa,20
De hospitalización general,1
De hospitalización especializada,2
No especificado,81
De consulta externa,49
De hospitalización general,16
De hospitalización especializada,16
