,"Funcionarios, profesionistas, técnicos y administrativos",Trabajadores agropecuarios,Trabajadores en la industria,Comerciantes y trabajadores en servicios diversos,No especificado
Total de la entidad Ciudad de México,43.91,0.39,14.63,39.44,1.62
Álvaro Obregón,42.3,0.14,16.55,39.34,1.66
Azcapotzalco,48.17,0.02,14.19,35.99,1.63
Benito Juárez,69.81,0.01,5.02,24.04,1.12
Coyoacán,54.74,0.04,10.44,32.04,2.74
Cuajimalpa de Morelos,41.6,0.26,16.85,39.82,1.46
Cuauhtémoc,51.26,0.06,8.13,38.54,2.02
Gustavo A. Madero,40.56,0.1,16.79,41.49,1.06
Iztacalco,46.45,0.15,14.2,38.1,1.09
Iztapalapa,34.8,0.1,18.5,45.3,1.31
La Magdalena Contreras,35.87,0.23,17.55,43.5,2.86
Miguel Hidalgo,58.87,0.07,6.87,31.84,2.35
Milpa Alta,22.99,6.95,22.31,46.97,0.79
Tláhuac,33.15,1.3,19.69,44.95,0.91
Tlalpan,44.49,0.72,15.09,37.91,1.8
Venustiano Carranza,42.44,0.04,12.52,43.57,1.44
Xochimilco,35.35,2.66,17.43,41.93,2.63
