,Cuauhtémoc,Gustavo A. Madero,Iztapalapa,Tlalpan,Coyoacán,Venustiano Carranza,La Magdalena Contreras,Miguel Hidalgo,Azcapotzalco,Xochimilco,Tláhuac,Iztacalco,Álvaro Obregón,Cuajimalpa de Morelos,Benito Juárez,Milpa Alta
Museos del sector privado,40,3,1,0,5,0,0,23,0,3,0,1,5,1,5,0
"Artistas, escritores y técnicos independientes",20,8,11,5,5,2,4,13,4,1,8,1,2,0,8,2
Jardines botánicos y zoológicos del sector privado,0,1,0,1,0,0,0,4,0,5,0,0,0,0,0,0
Jardines botánicos y zoológicos del sector público,0,1,1,0,1,0,0,5,0,0,1,0,0,0,0,0
Otras compañías y grupos de espectáculos artísticos del sector privado,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,2
"Agentes y representantes de artistas, deportistas y similares",5,0,0,1,1,0,0,3,0,0,0,1,1,0,1,0
"Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos",7,0,0,1,0,1,1,5,0,0,0,0,2,1,4,0
Compañías de teatro del sector privado,8,0,1,1,5,1,0,7,0,0,0,0,3,0,8,1
"Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",46,3,12,3,14,4,3,9,2,1,2,5,7,1,13,0
Museos del sector público,51,6,6,5,8,1,0,15,3,3,4,0,5,2,2,2
"Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",50,33,29,12,25,12,1,21,8,11,12,13,9,2,21,11
Compañías de danza del sector privado,3,0,5,2,0,0,0,0,1,0,1,1,1,0,1,0
Compañías de teatro del sector público,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
"Grutas, parques naturales y otros sitios del patrimonio cultural de la nación",1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
Compañías de danza del sector público,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marinas turísticas,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
