,Cuauhtémoc,Gustavo A. Madero,Iztapalapa,Tlalpan,Coyoacán,Venustiano Carranza,La Magdalena Contreras,Miguel Hidalgo,Azcapotzalco,Xochimilco,Tláhuac,Iztacalco,Álvaro Obregón,Cuajimalpa de Morelos,Benito Juárez,Milpa Alta
Casas de juegos electrónicos,52,68,171,55,31,61,14,25,17,24,36,19,49,32,11,7
"Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo",183,57,36,16,36,24,6,38,14,7,4,12,21,5,55,0
Billares,13,21,28,12,10,4,1,3,8,5,4,8,6,1,7,2
Otros servicios recreativos prestados por el sector privado,10,20,15,10,4,7,4,20,9,6,2,2,8,4,5,1
Parques de diversiones y temáticos del sector público,0,8,14,6,6,8,1,2,4,2,2,4,7,0,3,0
Otros juegos de azar,6,3,2,3,5,1,0,13,1,0,0,0,4,2,6,0
Parques acuáticos y balnearios del sector privado,0,2,2,0,0,0,0,0,1,0,4,0,0,0,0,1
Parques acuáticos y balnearios del sector público,0,0,2,1,2,2,0,0,0,2,2,1,2,1,0,0
Boliches,0,1,0,0,1,0,0,1,0,0,0,0,1,1,4,0
Otros servicios recreativos prestados por el sector público,0,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0
